"FPKM.spl_output"
60271.707031
43493.84375
18367.257812
33987.386719
37620.308594
42464.324219
93237.671875
46167.292969
934.601868
41607.105469
13588.686523
58908.992188
44993.671875
1699.987793
3132.730713
96842.601562
17477.451172
5485.115723
23327.238281
17353.355469
