"FPKM.brain_output"
0
0
140.661
0.000389327
0.000398455
0
0
0
268.196
0
0
458.14
0
0
376.418
154.907
318.697
0
0
0
0
0
103.104
0
99.9291
0
668.37
0
147.309
0
226.043
0
0
158.541
0
0
113.874
1.48746
284.701
547.468
548.682
550.154
346.839
0.00254795
116.426
0.000956317
0
0
154.215
143.401
1970.04
0.00014767
0
101.683
385.272
0
858.172
0
125070
16256.8
34861.7
32.1215
396.859
460.625
0
0
0
125.674
795.371
42.9053
0
0
0
0
0
0
45.1258
791.405
0.483131
213.398
46.9006
125.189
0
160.182
0
0
0
0
0
0
765.786
0
0
177.644
239.56
0
0
0
228.91
66.797
252.492
0
266.766
0
122.497
0
0
1660.69
296.603
0
0
0
413.224
0
72.5653
183.156
0
0
138.978
0
287.392
0
0
0
0
0
50.7454
0
388.968
0
0
0
0
0
92.6768
0
0
0
612.391
145.848
0
121.091
0
634.349
213.774
0
0
1095.84
154.464
0
131.325
